group	title	authors	abstract	categories	author comment
1	Parametric model for post-processing visibility ensemble forecasts	Ágnes Baran,Sándor Baran	Despite the continuous development of the different operational ensemble prediction systems over the past decades, ensemble forecasts still might suffer from lack of calibration and/or display systematic bias, thus require some post-processing to improve their forecast skill. Here we focus on visibility, which quantity plays a crucial role e.g. in aviation and road safety or in ship navigation, and propose a parametric model where the predictive distribution is a mixture of a gamma and a truncated normal distribution, both right censored at the maximal reported visibility value. The new model is evaluated in two case studies based on visibility ensemble forecasts of the European Centre for Medium-Range Weather Forecasts covering two distinct domains in Central and Western Europe and two different time periods. The results of the case studies indicate that climatology is substantially superior to the raw ensemble; nevertheless, the forecast skill can be further improved by post-processing, at least for short lead times. Moreover, the proposed mixture model consistently outperforms the Bayesian model averaging approach used as reference post-processing technique.	stat.AP	26 pages, 14 figures, 2 tables
2	Quasithermal GeV neutrinos from neutron-loaded magnetized outflows in core-collapse supernovae: spectra and light curves	Jose Alonso Carpio,Nick Ekanger,Mukul Bhattacharya,Kohta Murase,Shunsaku Horiuchi	Rapidly rotating and strongly magnetized protoneutron stars (PNSs) created in core-collapse supernovae can drive relativistic magnetized winds. Ions and neutrons can be co-accelerated while they remain coupled through elastic collisions. We investigate the nucleosynthesis and subsequent nuclear disintegration, and find that relativistic neutrons can be generated in such magnetized winds. Upon eventual decoupling, resulting inelastic collisions with ejecta lead to pion production, resulting in $0.1-10\,{\rm GeV}$ neutrinos. Following this scenario presented in Murase, Dasgupta & Thompson, Phys. Rev. D, 89, 043012 (2014), we numerically calculate the spectra and light curves of quasithermal neutrino emission and find that power-law tails are formed without cosmic-ray acceleration. In the event of a Galactic supernova, $\sim 10-1000$ neutrino events could be detected with Hyper-Kamiokande, KM3Net-ORCA and IceCube-Upgrade for PNSs with surface magnetic field $B_{\rm dip}\sim 10^{13-15}\,{\rm G}$ and initial spin period $P_i \sim 1-30\,{\rm ms}$. Successful detection will enable us to study supernovae as multienergy neutrino sources and may provide clues to the roles of PNSs in diverse classes of transients.	astro-ph.HE	11 pages
3	Generally applicable physics-based equation of state for liquids	G. E. Proctor,K. Trachenko	"Physics-based first-principles pressure-volume-temperature equations of state (EOS) exist for solids and gases but not for liquids due to the long-standing fundamental problems involved in liquid theory. Current EOS models that are applicable to liquids and supercritical fluids at liquid-like density under conditions relevant to planetary interiors and industrial processes are complex empirical models with many physically meaningless adjustable parameters. Here, we develop a generally applicable physics-based (GAP) EOS for liquids including supercritical fluids at liquid-like density. The GAP equation has only one dimensionless parameter: the Gr\""uneisen parameter for the fluid. The GAP equation is explicit in the internal energy, and hence links the most fundamental macroscopic static property of fluids, the pressure-volume-temperature EOS, to their key microscopic property: the molecular hopping frequency or liquid relaxation time, from which the internal energy can be obtained. We test our GAP equation against available experimental data in several different ways and find good agreement. We observe that the GAP equation is similar to the Mie-Gr\""{u}neisen solid EOS in a wide range of the liquid phase diagram. This similarity is ultimately related to the condensed state of these two phases. On the other hand, the differences between the GAP equation and EOS for gases are fundamental. Finally, we identify the key gaps in the experimental data that need to be filled in to proceed further with the liquid EOS."	cond-mat.soft	None
4	CATE Lasso: Conditional Average Treatment Effect Estimation with High-Dimensional Linear Regression	Masahiro Kato,Masaaki Imaizumi	In causal inference about two treatments, Conditional Average Treatment Effects (CATEs) play an important role as a quantity representing an individualized causal effect, defined as a difference between the expected outcomes of the two treatments conditioned on covariates. This study assumes two linear regression models between a potential outcome and covariates of the two treatments and defines CATEs as a difference between the linear regression models. Then, we propose a method for consistently estimating CATEs even under high-dimensional and non-sparse parameters. In our study, we demonstrate that desirable theoretical properties, such as consistency, remain attainable even without assuming sparsity explicitly if we assume a weaker assumption called implicit sparsity originating from the definition of CATEs. In this assumption, we suppose that parameters of linear models in potential outcomes can be divided into treatment-specific and common parameters, where the treatment-specific parameters take difference values between each linear regression model, while the common parameters remain identical. Thus, in a difference between two linear regression models, the common parameters disappear, leaving only differences in the treatment-specific parameters. Consequently, the non-zero parameters in CATEs correspond to the differences in the treatment-specific parameters. Leveraging this assumption, we develop a Lasso regression method specialized for CATE estimation and present that the estimator is consistent. Finally, we confirm the soundness of the proposed method by simulation studies.	econ.EM	None
5	DreamCraft3D: Hierarchical 3D Generation with Bootstrapped Diffusion Prior	Jingxiang Sun,Bo Zhang,Ruizhi Shao,Lizhen Wang,Wen Liu,Zhenda Xie,Yebin Liu	We present DreamCraft3D, a hierarchical 3D content generation method that produces high-fidelity and coherent 3D objects. We tackle the problem by leveraging a 2D reference image to guide the stages of geometry sculpting and texture boosting. A central focus of this work is to address the consistency issue that existing works encounter. To sculpt geometries that render coherently, we perform score distillation sampling via a view-dependent diffusion model. This 3D prior, alongside several training strategies, prioritizes the geometry consistency but compromises the texture fidelity. We further propose Bootstrapped Score Distillation to specifically boost the texture. We train a personalized diffusion model, Dreambooth, on the augmented renderings of the scene, imbuing it with 3D knowledge of the scene being optimized. The score distillation from this 3D-aware diffusion prior provides view-consistent guidance for the scene. Notably, through an alternating optimization of the diffusion prior and 3D scene representation, we achieve mutually reinforcing improvements: the optimized 3D scene aids in training the scene-specific diffusion model, which offers increasingly view-consistent guidance for 3D optimization. The optimization is thus bootstrapped and leads to substantial texture boosting. With tailored 3D priors throughout the hierarchical generation, DreamCraft3D generates coherent 3D objects with photorealistic renderings, advancing the state-of-the-art in 3D content generation. Code available at https://github.com/deepseek-ai/DreamCraft3D.	cs.CV	Project Page: https://mrtornado24.github.io/DreamCraft3D/
6	All-optical single-shot readout of a superconducting qubit	Georg Arnold,Thomas Werner,Rishabh Sahu,Lucky N. Kapoor,Liu Qiu,Johannes M. Fink	The rapid development of superconducting quantum hardware is expected to run into significant I/O restrictions due to the need for large-scale error correction in a cryogenic environment. Classical data centers rely on fiber-optic interconnects to remove similar networking bottlenecks and to allow for reconfigurable, software-defined infrastructures. In the same spirit, ultra-cold electro-optic links have been proposed and used to generate qubit control signals, or to replace cryogenic readout electronics. So far, the latter suffered from either low efficiency, low bandwidth and the need for additional microwave drives, or breaking of Cooper pairs and qubit states. In this work we realize electro-optic microwave photonics at millikelvin temperatures to implement a radio-over-fiber qubit readout that does not require any active or passive cryogenic microwave equipment. We demonstrate all-optical single-shot-readout by means of the Jaynes-Cummings nonlinearity in a circulator-free readout scheme. Importantly, we do not observe any direct radiation impact on the qubit state as verified with high-fidelity quantum-non-demolition measurements despite the absence of shielding elements. This compatibility between superconducting circuits and telecom wavelength light is not only a prerequisite to establish modular quantum networks, it is also relevant for multiplexed readout of superconducting photon detectors and classical superconducting logic. Moreover, this experiment showcases the potential of electro-optic radiometry in harsh environments - an electronics-free sensing principle that extends into the THz regime with applications in radio astronomy, planetary missions and earth observation.	quant-ph	None
7	The intelligent agent model -- a fully two-dimensional microscopic traffic flow model	Martin Treiber,Ankit Anil Chaudhari	Recently, a fully two-dimensional microscopic traffic flow model for lane-free vehicular traffic flow has been proposed [Physica A, 509, pp. 1-11 (2018)]. In this contribution, we generalize this model to describe any kind of human-driven directed flow including lane-based vehicular flow, lane-free mixed traffic, bicycle traffic, and pedestrian flow. The proposed intelligent-agent model (IAM) has the same philosophy as the well-known social-force model (SFM) for pedestrians but the interaction and boundary forces are based on car-following models making this model suitable for higher speeds. Depending on the underlying car-following model, the IAM includes anticipation, response to relative velocities, and accident-free driving. When adding a suitable floor field, the IAM reverts to an integrated car-following and lane-changing model with continuous lane changes. We simulate this model in several lane-based and lane-free environments in various geometries with and without obstacles. We observe that the model produces accident-free traffic flow reproducing the observed self-organisation phenomena.	physics.soc-ph	Accepted by Transportation Letters: the International Journal of   Transportation Research
8	Manipulating Plasma Excitations with Terahertz Light Pulses in Superconducting Cuprates	Jacopo Fiore,Niccolò Sellati,Francesco Gabriele,Claudio Castellani,Goetz Seibold,Mattia Udina,Lara Benfatto	Layered cuprates offer a preferential playground for optical non-linearity thanks to the emergence, below Tc, of soft out-of-plane Josephson plasmons. The hallmark of such a non-linearity is the observation of Third Harmonic Generation, that has been theoretically understood as a sum-frequency process involving a two-plasmon excitation. However, recent experiments in cuprates with two planes per unit cell challenge this interpretation, due to the lack of resonant response at the temperature where the driving frequency matches the plasma energy scale, as observed instead in single-layer cuprates. Here we show that such an apparent discrepancy in bilayer systems can be resolved by taking into account the combined effect of light polarization and Josephson-coupling anisotropy on setting the energy range where three-dimensional layered plasma modes can be resonantly excited. Our results offer a novel perspective on the possibility to tune on demand high-harmonic generation by artificially designing Josephson heterostructures.	cond-mat.supr-con	None
9	Can GPT models Follow Human Summarization Guidelines? Evaluating ChatGPT and GPT-4 for Dialogue Summarization	Yongxin Zhou,Fabien Ringeval,François Portet	This study explores the capabilities of prompt-driven Large Language Models (LLMs) like ChatGPT and GPT-4 in adhering to human guidelines for dialogue summarization. Experiments employed DialogSum (English social conversations) and DECODA (French call center interactions), testing various prompts: including prompts from existing literature and those from human summarization guidelines, as well as a two-step prompt approach. Our findings indicate that GPT models often produce lengthy summaries and deviate from human summarization guidelines. However, using human guidelines as an intermediate step shows promise, outperforming direct word-length constraint prompts in some cases. The results reveal that GPT models exhibit unique stylistic tendencies in their summaries. While BERTScores did not dramatically decrease for GPT outputs suggesting semantic similarity to human references and specialised pre-trained models, ROUGE scores reveal grammatical and lexical disparities between GPT-generated and human-written summaries. These findings shed light on the capabilities and limitations of GPT models in following human instructions for dialogue summarization.	cs.CL	None
0	Exploring OCR Capabilities of GPT-4V(ision) : A Quantitative and In-depth Evaluation	Yongxin Shi,Dezhi Peng,Wenhui Liao,Zening Lin,Xinhong Chen,Chongyu Liu,Yuyi Zhang,Lianwen Jin	This paper presents a comprehensive evaluation of the Optical Character Recognition (OCR) capabilities of the recently released GPT-4V(ision), a Large Multimodal Model (LMM). We assess the model's performance across a range of OCR tasks, including scene text recognition, handwritten text recognition, handwritten mathematical expression recognition, table structure recognition, and information extraction from visually-rich document. The evaluation reveals that GPT-4V performs well in recognizing and understanding Latin contents, but struggles with multilingual scenarios and complex tasks. Based on these observations, we delve deeper into the necessity of specialized OCR models and deliberate on the strategies to fully harness the pretrained general LMMs like GPT-4V for OCR downstream tasks. The study offers a critical reference for future research in OCR with LMMs. Evaluation pipeline and results are available at https://github.com/SCUT-DLVCLab/GPT-4V_OCR.	cs.CV	None
1	Two-Sided Matching Markets: Impossibility Results on Existence of Efficient and Envy Free Solutions	Thorben Tröbst,Vijay V Vazirani	The Hylland-Zeckhauser gave a classic pricing-based mechanism (HZ) for a one-sided matching market; it yields allocations satisfying Pareto optimality and envy-freeness (Hylland and Zeckhauser, 1979), and the mechanism is incentive compatible in the large (He et al., 2018). They also studied the exchange extension of HZ and gave an example showing that it may not even admit an equilibrium. In this paper, we consider two models of two sided matching markets: when utility functions are symmetric and when they are non-symmetric. We ask if these models always admit allocations satisfying the two basic properties of Pareto efficiency and envy freeness. Our results are negative. A corollary of the former result is a negative result for non-bipartite matching markets as well.	cs.GT	None
2	Learning COVID-19 Regional Transmission Using Universal Differential Equations in a SIR model	Adrian Rojas-Campos,Lukas Stelz,Pascal Nieters	Highly-interconnected societies difficult to model the spread of infectious diseases such as COVID-19. Single-region SIR models fail to account for incoming forces of infection and expanding them to a large number of interacting regions involves many assumptions that do not hold in the real world. We propose using Universal Differential Equations (UDEs) to capture the influence of neighboring regions and improve the model's predictions in a combined SIR+UDE model. UDEs are differential equations totally or partially defined by a deep neural network (DNN). We include an additive term to the SIR equations composed by a DNN that learns the incoming force of infection from the other regions. The learning is performed using automatic differentiation and gradient descent to approach the change in the target system caused by the state of the neighboring regions. We compared the proposed model using a simulated COVID-19 outbreak against a single-region SIR and a fully data-driven model composed only of a DNN. The proposed UDE+SIR model generates predictions that capture the outbreak dynamic more accurately, but a decay in performance is observed at the last stages of the outbreak. The single-area SIR and the fully data-driven approach do not capture the proper dynamics accurately. Once the predictions were obtained, we employed the SINDy algorithm to substitute the DNN with a regression, removing the black box element of the model with no considerable increase in the error levels.	cs.LG	18 pages
3	Language Agnostic Code Embeddings	Saiteja Utpala,Alex Gu,Pin Yu Chen	Recently, code language models have achieved notable advancements in addressing a diverse array of essential code comprehension and generation tasks. Yet, the field lacks a comprehensive deep dive and understanding of the code embeddings of multilingual code models. In this paper, we present a comprehensive study on multilingual code embeddings, focusing on the cross-lingual capabilities of these embeddings across different programming languages. Through probing experiments, we demonstrate that code embeddings comprise two distinct components: one deeply tied to the nuances and syntax of a specific language, and the other remaining agnostic to these details, primarily focusing on semantics. Further, we show that when we isolate and eliminate this language-specific component, we witness significant improvements in downstream code retrieval tasks, leading to an absolute increase of up to +17 in the Mean Reciprocal Rank (MRR).	cs.CL	None
4	From Molecules to Materials: Pre-training Large Generalizable Models for Atomic Property Prediction	Nima Shoghi,Adeesh Kolluru,John R. Kitchin,Zachary W. Ulissi,C. Lawrence Zitnick,Brandon M. Wood	Foundation models have been transformational in machine learning fields such as natural language processing and computer vision. Similar success in atomic property prediction has been limited due to the challenges of training effective models across multiple chemical domains. To address this, we introduce Joint Multi-domain Pre-training (JMP), a supervised pre-training strategy that simultaneously trains on multiple datasets from different chemical domains, treating each dataset as a unique pre-training task within a multi-task framework. Our combined training dataset consists of $\sim$120M systems from OC20, OC22, ANI-1x, and Transition-1x. We evaluate performance and generalization by fine-tuning over a diverse set of downstream tasks and datasets including: QM9, rMD17, MatBench, QMOF, SPICE, and MD22. JMP demonstrates an average improvement of 59% over training from scratch, and matches or sets state-of-the-art on 34 out of 40 tasks. Our work highlights the potential of pre-training strategies that utilize diverse data to advance property prediction across chemical domains, especially for low-data tasks.	cs.LG	None
5	Can acoustic early dark energy still resolve the Hubble tension?	Théo Simon	In this paper, we re-assess the ability of the acoustic early dark energy (ADE) model to resolve the Hubble tension in light of the new Pantheon+ and S$H_0$ES data on the one hand, and the BOSS LRG and eBOSS QSO data, analysed under the effective field theory of large-scale structures (ETFofLSS) on the other hand. We find that the Pantheon+ data, which favor a larger $\Omega_m$ value than the Pantheon data, have a strong constraining power on the ADE model, while the EFTofLSS analysis of the BOSS and eBOSS data only slightly increases the constraints. We establish that the ADE model is now ruled out as a solution to the Hubble tension, with a remaining tension of $3.6\sigma$. In addition, we find that the axion-like early dark energy model performs better when confronted to the same datasets, with a residual tension of $2.5\sigma$. This work shows that the Pantheon+ data can have a decisive impact on models which aim to resolve the Hubble tension.	astro-ph.CO	12 + 4 pages, 6 figures. Comments welcome! arXiv admin note: text   overlap with arXiv:2302.09032
6	Measuring Supermassive Black Hole Properties via Gravitational Radiation from Eccentrically Orbiting Stellar Mass Black Hole Binaries	Andrew Laeuger,Brian Seymour,Yanbei Chen,Hang Yu	There may exist stellar-mass binary black holes (BBH) which merge while orbiting nearby a supermassive black hole (SMBH). In such a triple system, the SMBH will modulate the gravitational waveform of the BBH through orbital Doppler shift and de Sitter precession of the angular momentum. Future space-based GW observatories focused on the milli- and decihertz band will be uniquely poised to observe these waveform modulations, as the GW frequency from stellar-mass BBHs varies slowly in this band while modulation effects accumulate. In this work, we apply the Fisher information matrix formalism to estimate how well space-borne GW detectors can measure properties of BBH+SMBH hierarchical triples using the GW from orbiting BBH. We extend previous work by considering the more realistic case of an eccentric orbit around the SMBH, and notably include the effects of orbital pericenter precession. We find that for detector concepts such as LISA, B-DECIGO, and TianGO, we can extract the SMBH mass and semimajor axis of the orbit with a fractional uncertainty below the 0.1% level over a wide range of triple system parameters. Furthermore, we find that the effects of pericenter precession and orbital eccentricity significantly improve our ability to measure this system. We also find that while LISA could measure these systems, the decihertz detector concepts B-DECIGO and TianGO would enable better sensitivity to the triple's parameters.	gr-qc	12 pages (main text excluding references and appendices), 11 figures,   submitted to PRD
